Study_Hours,Sleep_Hours,Screen_Time,Stress_Level,Physical_Activity,Assignment_Load,Attendance,CGPA,Age,Gender,Burnout
8,6,5,High,High,High,57,6.05,24,Female,Moderate
4,3,1,Medium,Medium,Low,78,6.3,18,Female,Low
2,4,1,Low,Medium,High,97,9.85,19,Male,Moderate
6,5,8,High,Low,High,100,8.67,22,Male,Moderate
6,8,8,Medium,Medium,Low,82,8.5,23,Male,Low
10,4,6,High,Low,Medium,52,9.26,18,Female,High
4,9,4,High,Low,Low,84,5.58,21,Male,Moderate
6,4,2,Low,Low,High,54,8.53,25,Male,Moderate
2,5,2,High,High,High,76,7.52,24,Male,Moderate
10,4,9,Low,Medium,High,93,9.15,21,Male,High
2,5,5,Low,Low,Low,61,7.54,24,Female,Low
10,3,4,Low,Medium,High,69,8.1,19,Male,Moderate
4,5,10,Medium,Low,High,94,7.39,25,Male,Moderate
8,5,1,Medium,Medium,Low,69,7.39,19,Female,Moderate
7,6,7,Low,Medium,Medium,58,8.84,22,Female,Moderate
9,5,3,High,Low,Medium,88,8.14,23,Female,Moderate
8,5,6,Low,High,High,53,8.17,22,Male,Moderate
5,8,5,High,Medium,Low,100,7.25,19,Male,Low
2,3,5,Low,High,High,68,7.66,19,Male,Moderate
5,9,5,High,High,Low,87,8.73,21,Male,Low
8,6,1,Medium,Low,Low,76,9.13,19,Female,Moderate
10,8,1,High,Low,Medium,94,8.48,25,Male,Moderate
9,7,3,Low,Low,Medium,92,9.62,25,Male,Moderate
9,3,10,Medium,Medium,Low,62,9.1,20,Female,High
1,3,4,High,Low,High,62,7.81,24,Female,High
9,7,5,High,Low,Medium,71,8.36,18,Female,Moderate
7,9,2,High,Medium,High,77,9.63,19,Male,Moderate
9,5,8,High,Medium,Medium,96,8.1,22,Male,Moderate
8,8,2,High,Low,Medium,94,9.12,23,Male,Moderate
1,4,9,Medium,Low,High,71,8.44,24,Male,High
8,6,2,Medium,Low,Medium,92,7.76,24,Male,Moderate
8,4,9,Medium,Low,Medium,68,6.21,23,Female,High
3,7,7,Medium,High,High,57,7.13,23,Female,Moderate
1,3,8,Low,High,Medium,57,9.84,24,Male,Moderate
8,9,2,Medium,Low,Medium,91,8.29,20,Male,Moderate
3,3,7,High,High,Medium,75,7.82,22,Male,Moderate
3,6,6,High,Medium,High,97,9.66,20,Male,Moderate
1,3,4,Medium,High,Low,100,7.93,19,Male,Low
5,3,7,High,High,High,75,7.63,18,Female,Moderate
10,6,4,Medium,Low,Low,72,8.8,23,Female,Moderate
7,8,2,High,High,Medium,92,8.56,25,Female,Low
10,8,10,Low,High,Low,62,5.97,22,Male,Moderate
9,6,7,Low,High,High,77,7.36,23,Male,Moderate
7,9,8,Medium,High,High,58,7.36,20,Female,Moderate
9,7,2,Medium,Medium,Medium,69,6.89,21,Female,Moderate
8,3,5,Medium,Low,Low,68,7.59,19,Male,Moderate
2,9,1,High,Low,Medium,97,7.07,18,Female,Moderate
1,3,7,Medium,Medium,Medium,88,6.0,19,Female,Moderate
7,7,8,Low,High,High,100,7.06,21,Male,Low
7,8,6,High,Medium,Low,61,5.36,18,Female,Moderate
8,9,5,Medium,High,Low,64,7.88,21,Female,Low
5,5,6,High,Medium,Low,80,9.27,19,Female,Low
3,5,2,High,Low,Low,63,8.63,20,Male,Moderate
8,5,1,Medium,Low,Medium,60,6.8,24,Female,Moderate
6,8,7,High,Low,Medium,75,5.44,19,Female,Moderate
3,8,7,Low,High,High,91,6.01,19,Female,Low
1,7,10,Low,High,Medium,76,7.73,19,Male,Low
3,3,10,High,Medium,Medium,60,6.04,22,Male,High
5,7,2,Medium,Medium,High,87,7.72,21,Female,Low
3,7,2,High,Low,High,83,6.16,25,Male,Moderate
1,8,1,Low,High,High,92,9.24,21,Female,Low
5,5,10,High,Medium,Medium,68,6.99,23,Male,Moderate
10,4,8,High,High,Medium,55,6.23,21,Male,High
7,3,8,Low,High,High,95,9.06,23,Female,Moderate
7,8,1,High,Low,High,87,6.71,22,Female,Moderate
9,5,8,High,Low,High,98,5.56,20,Female,High
10,9,9,Medium,High,Medium,91,7.85,23,Male,Moderate
10,4,4,Medium,High,Medium,77,7.91,19,Female,Moderate
3,4,1,Low,High,Low,50,8.57,20,Male,Low
7,8,1,Low,High,Medium,84,6.2,24,Male,Low
1,6,3,Low,Low,Medium,89,7.22,22,Female,Low
4,3,5,Medium,Medium,Medium,57,6.41,21,Male,Moderate
4,4,5,Low,Low,High,96,5.4,23,Female,Moderate
5,8,9,Low,Medium,Medium,56,9.38,25,Male,Moderate
7,8,10,Low,High,High,60,8.64,19,Female,Moderate
7,5,2,Medium,Medium,Low,88,6.51,18,Male,Low
4,9,2,High,Low,Low,53,8.0,24,Male,Moderate
7,6,6,Low,Low,High,74,6.01,18,Female,Moderate
3,3,9,High,High,High,61,9.45,20,Male,High
6,7,1,Low,Low,High,75,5.57,21,Female,Moderate
2,9,9,High,High,Medium,87,5.02,25,Male,Moderate
10,9,9,Medium,Low,Low,95,7.51,18,Male,Moderate
9,5,9,Medium,Low,High,61,7.92,20,Male,High
5,4,5,Low,High,Medium,92,7.89,22,Female,Low
6,4,9,High,Medium,Low,100,5.27,20,Female,Moderate
4,5,4,Medium,Low,Medium,86,6.57,24,Female,Moderate
10,8,2,Low,Medium,Low,95,7.5,25,Female,Low
7,4,6,Low,Low,Medium,73,6.08,25,Female,Moderate
9,6,4,Medium,Low,Low,65,9.36,20,Male,Moderate
7,3,6,Medium,Low,Low,62,5.44,24,Male,Moderate
1,9,3,Low,Low,Medium,74,7.44,20,Female,Low
1,9,6,High,Medium,High,53,8.46,25,Male,Moderate
9,6,2,High,Medium,Low,60,6.31,25,Male,Moderate
9,4,2,High,Low,High,81,8.12,19,Male,High
4,9,9,Low,Low,Medium,98,9.15,20,Male,Moderate
9,7,7,Medium,Medium,High,56,5.95,23,Female,High
3,3,3,Low,High,High,95,9.59,20,Male,Low
7,3,1,Medium,High,High,60,7.77,25,Female,Moderate
6,9,8,High,Medium,High,77,6.5,19,Female,Moderate
8,5,6,High,Low,High,90,7.15,19,Male,Moderate
9,9,7,Medium,Low,Low,72,6.56,22,Female,Moderate
5,5,9,Medium,High,Low,94,8.63,24,Male,Low
1,9,5,Low,High,Low,72,8.98,21,Male,Low
3,7,1,High,Medium,Medium,99,9.16,18,Male,Low
10,8,10,Low,High,High,77,9.93,18,Female,Moderate
8,3,7,Low,Medium,Low,92,8.96,20,Female,Moderate
6,9,5,Low,High,Medium,96,8.01,22,Female,Low
8,7,3,High,High,Low,75,6.7,20,Male,Low
9,5,9,Low,High,Low,74,7.72,18,Male,Moderate
4,5,1,Low,Low,High,78,5.21,24,Male,Moderate
1,3,1,Low,Low,Medium,68,8.72,25,Female,Moderate
1,6,1,Low,Low,High,82,7.23,24,Male,Moderate
10,9,3,Low,High,High,85,5.1,24,Male,Moderate
4,4,6,Low,Medium,Low,63,5.31,19,Female,Moderate
7,5,10,High,Medium,High,63,6.94,25,Female,High
2,8,3,Low,Medium,Medium,84,7.92,21,Female,Low
3,8,8,Medium,Medium,High,79,7.32,25,Male,Moderate
1,5,10,Low,Low,High,77,8.1,22,Male,Moderate
5,6,2,Low,Low,High,66,7.4,19,Male,Moderate
1,6,9,High,High,Low,52,8.31,21,Female,Moderate
8,7,3,High,High,Medium,65,6.1,22,Female,Moderate
1,8,5,Medium,Medium,Low,95,5.56,22,Female,Low
1,7,10,Medium,Low,Low,79,7.98,18,Female,Moderate
2,8,8,High,Medium,Low,78,7.42,19,Male,Low
2,9,2,High,High,Low,94,5.13,22,Male,Low
6,9,6,Low,High,Low,64,6.9,23,Male,Low
7,4,5,High,Medium,Medium,95,5.53,24,Male,Moderate
5,9,10,Medium,High,High,74,7.66,22,Male,Moderate
1,4,9,Low,Medium,Low,100,6.98,21,Male,Moderate
1,9,5,Medium,Low,Low,87,8.07,18,Male,Low
3,3,2,Low,Medium,Medium,91,9.03,20,Male,Low
2,9,5,High,Low,Medium,96,6.5,24,Female,Moderate
5,7,4,Medium,Low,High,87,9.81,18,Female,Moderate
10,5,7,Low,High,Medium,72,7.68,20,Male,Moderate
6,7,6,Low,High,High,74,8.09,19,Female,Low
7,5,2,High,High,Low,91,8.4,19,Male,Low
4,6,5,High,Medium,Low,56,8.33,22,Male,Moderate
7,7,7,High,Medium,High,71,7.55,23,Female,Moderate
8,6,7,Medium,High,Medium,66,7.14,19,Male,Moderate
1,4,5,Low,Medium,High,67,5.27,25,Male,Moderate
6,4,9,High,High,Medium,98,5.11,22,Male,Moderate
8,3,4,Medium,Medium,Low,90,6.79,24,Male,Moderate
5,9,3,Medium,Low,Medium,59,6.67,18,Male,Moderate
4,7,4,Medium,Low,High,59,6.94,19,Male,Moderate
2,6,5,High,High,High,56,5.69,25,Male,Moderate
6,5,6,High,Medium,Low,97,8.69,18,Female,Low
6,4,3,Low,Medium,Medium,99,9.28,18,Female,Low
1,9,2,Low,Low,Medium,87,9.69,23,Male,Low
9,4,4,High,Low,Medium,76,7.46,19,Female,High
6,5,5,Medium,High,Low,82,8.5,18,Male,Low
3,9,4,Medium,Low,Medium,50,9.28,23,Male,Moderate
4,9,3,Medium,High,High,93,7.09,23,Male,Low
4,6,8,Low,Low,Medium,83,6.55,19,Male,Moderate
3,6,10,Medium,Low,Low,53,9.68,23,Female,Moderate
10,7,4,Low,Medium,Medium,66,7.58,19,Female,Moderate
3,7,2,Low,Low,Medium,53,7.49,25,Female,Low
3,8,2,Medium,Low,High,92,5.89,19,Female,Moderate
4,8,1,Medium,High,Medium,75,5.54,20,Male,Low
7,3,4,High,Low,High,53,9.21,18,Female,High
4,4,10,High,High,High,50,8.07,25,Male,High
9,7,9,Medium,Low,Low,56,6.63,21,Male,Moderate
1,6,7,Low,Low,High,79,5.96,19,Female,Moderate
8,5,10,Low,High,High,99,7.78,18,Male,Moderate
7,6,7,Low,Medium,Low,58,7.92,24,Female,Moderate
2,4,7,Low,High,High,84,6.03,23,Female,Moderate
8,8,8,Low,High,Low,57,9.26,22,Female,Low
1,6,1,High,High,Medium,73,5.42,19,Female,Moderate
9,3,10,Medium,Medium,Low,68,6.78,23,Female,High
9,4,10,High,Low,High,85,8.4,23,Male,High
2,8,8,Low,High,Low,99,6.37,23,Female,Low
7,5,4,Low,High,High,92,9.14,23,Female,Low
10,8,4,Low,Medium,Medium,76,8.7,23,Male,Low
3,9,4,Low,High,Low,81,8.95,19,Female,Low
7,3,6,Medium,Low,Medium,63,5.6,24,Female,High
10,4,7,Low,Medium,High,67,5.7,21,Male,High
9,5,6,Medium,Low,High,77,6.43,20,Male,Moderate
4,3,1,Low,Low,Medium,78,7.59,23,Female,Moderate
1,8,8,Medium,Medium,Low,65,8.74,23,Male,Low
2,3,10,High,High,Low,84,9.18,20,Female,Moderate
1,4,7,Low,Low,High,96,8.52,24,Male,Moderate
5,7,6,Medium,Low,Medium,80,9.64,25,Female,Low
5,3,6,High,Low,Medium,53,8.69,24,Female,Moderate
7,9,5,Low,Low,Low,86,6.53,25,Female,Low
9,3,6,Low,Medium,Low,66,6.33,19,Male,Moderate
9,8,9,Low,Medium,Low,88,8.48,18,Female,Moderate
3,8,10,Medium,Low,Medium,97,5.96,22,Male,Moderate
3,5,9,Medium,High,Low,95,5.46,22,Female,Moderate
3,8,10,High,Low,Low,75,7.66,18,Female,Moderate
4,6,8,Medium,High,High,97,9.11,19,Female,Moderate
8,4,10,Medium,Low,Low,88,5.51,22,Female,High
6,4,9,Low,High,Low,90,8.96,24,Female,Low
8,7,10,Low,Low,Medium,53,9.06,20,Male,Moderate
1,7,8,Low,High,Medium,79,7.41,18,Male,Low
8,4,8,Low,Low,High,79,5.29,24,Male,High
4,9,1,Low,Low,Low,71,5.87,21,Female,Low
1,7,10,Low,High,High,60,8.54,19,Female,Moderate
8,5,5,Low,Medium,Medium,51,8.56,18,Male,Moderate
4,8,4,High,High,High,93,9.49,22,Female,Low
6,4,2,High,Medium,Medium,61,7.91,19,Female,Moderate
8,7,8,High,Low,High,79,5.62,20,Female,High
4,4,3,High,High,High,85,5.61,19,Male,Moderate
3,6,4,Low,High,Low,67,8.61,19,Male,Low
9,3,7,High,High,High,75,5.92,20,Male,High
3,8,10,Low,Medium,Low,56,6.64,23,Male,Low
9,4,9,High,Medium,Low,50,7.44,20,Male,High
2,3,2,Medium,Low,Low,75,5.12,24,Female,Moderate
2,7,3,High,Medium,Low,72,6.24,19,Female,Low
2,3,4,High,Medium,High,75,7.04,25,Female,Moderate
6,8,10,Low,Low,Medium,94,6.4,20,Female,Moderate
3,4,1,High,High,Medium,55,5.68,23,Male,Moderate
9,6,7,Medium,High,Medium,55,8.64,24,Male,Moderate
4,9,2,Low,Low,High,93,9.07,25,Female,Low
1,7,5,Low,High,Low,57,6.29,25,Male,Low
4,4,1,High,Medium,Medium,73,8.87,18,Female,Moderate
1,8,3,Low,Low,High,71,6.93,20,Female,Low
5,7,2,Low,Low,Low,68,7.53,20,Female,Low
4,5,1,Low,Low,Medium,86,9.28,19,Female,Low
8,3,7,Low,High,Low,67,8.75,24,Male,Moderate
8,9,5,Low,Low,Medium,80,9.03,18,Female,Low
7,8,1,Low,Low,Medium,86,5.68,21,Male,Moderate
3,5,6,Medium,Low,Medium,79,5.35,21,Female,Moderate
1,4,5,High,High,Low,91,9.47,22,Female,Low
1,6,3,Medium,Medium,High,82,6.94,20,Female,Moderate
3,7,7,Low,Low,Low,59,6.44,20,Female,Low
6,3,10,Low,Medium,Medium,86,8.62,18,Male,Moderate
7,7,9,High,High,Low,61,9.18,23,Female,Moderate
6,9,9,Medium,High,High,79,9.31,21,Male,Moderate
6,4,9,High,High,Low,76,6.58,22,Female,Moderate
6,7,2,Medium,High,High,88,9.26,18,Female,Low
3,3,3,Low,Medium,High,58,5.2,20,Female,Moderate
6,4,7,High,Low,Low,70,5.25,21,Male,Moderate
8,7,5,High,High,Medium,61,8.12,24,Female,Moderate
2,6,2,Low,High,High,78,5.32,22,Female,Low
5,8,3,High,Medium,Low,82,6.62,19,Female,Low
1,4,10,Medium,Medium,High,92,8.36,21,Female,Moderate
1,8,6,Medium,High,Medium,64,6.69,22,Female,Low
5,4,7,Medium,Low,Low,51,5.9,18,Male,Moderate
3,6,9,Medium,Low,Low,88,6.41,19,Male,Moderate
4,8,1,Low,High,Low,93,7.29,22,Female,Low
3,5,7,High,Medium,Medium,67,7.38,22,Female,Moderate
1,3,8,Medium,High,High,52,8.92,25,Male,Moderate
1,5,3,Low,High,Low,56,8.75,25,Female,Low
5,7,4,High,Medium,High,92,7.28,25,Male,Moderate
6,6,10,High,High,High,67,9.23,20,Female,Moderate
3,5,6,Low,High,Medium,93,5.57,23,Female,Low
9,4,10,Low,High,Low,87,6.28,21,Male,Moderate
5,7,7,Medium,Medium,High,86,9.14,20,Female,Moderate
8,7,4,High,Low,Low,82,6.89,24,Male,Moderate
1,5,8,High,Low,Low,93,9.91,19,Male,Moderate
5,5,5,Low,Medium,Medium,80,7.33,23,Male,Low
3,6,1,High,Low,Low,60,8.96,22,Female,Moderate
1,3,4,Medium,High,Low,53,7.01,20,Male,Low
4,5,3,High,Low,High,67,7.12,25,Male,Moderate
5,9,9,Low,High,Medium,53,6.91,23,Female,Low
7,5,8,Low,Low,Low,98,8.6,24,Female,Moderate
1,8,1,Medium,Medium,High,83,7.74,21,Female,Low
3,4,6,Medium,Low,Medium,78,9.72,24,Female,Moderate
2,9,9,High,Low,Medium,73,6.25,19,Female,Moderate
9,9,7,High,Low,High,71,5.5,18,Female,High
10,8,4,Low,Medium,High,51,6.97,20,Male,Moderate
6,8,1,Medium,Low,High,93,8.08,25,Female,Moderate
10,7,2,Medium,Medium,High,55,9.3,19,Male,Moderate
3,3,5,Medium,High,High,91,6.73,18,Female,Moderate
8,4,5,High,Low,Low,74,8.27,25,Male,Moderate
8,6,8,Medium,Medium,Low,70,6.75,25,Male,Moderate
2,9,6,Low,Medium,Medium,65,8.09,25,Female,Low
6,6,8,Low,Low,Low,80,9.42,20,Female,Low
7,5,2,High,High,Low,63,6.16,19,Male,Moderate
2,5,3,High,Medium,Low,88,7.02,25,Female,Low
10,6,6,Medium,Low,High,77,9.97,24,Female,Moderate
2,5,10,High,High,Medium,81,9.34,19,Male,Moderate
10,3,3,Low,Medium,Medium,77,7.82,23,Male,Moderate
1,8,6,Medium,Medium,Medium,100,7.58,24,Male,Low
8,5,6,Low,High,Medium,98,6.42,20,Female,Low
1,7,2,Medium,High,Low,58,7.59,25,Female,Low
9,5,7,High,Low,Low,94,9.24,19,Female,Moderate
6,4,2,Medium,Low,High,71,8.43,22,Female,Moderate
7,3,6,Medium,Medium,Medium,81,6.45,20,Male,Moderate
10,4,1,Low,High,Low,54,6.01,19,Female,Moderate
7,4,3,Low,High,Low,72,6.33,23,Male,Low
10,7,2,Medium,High,High,54,5.85,25,Female,Moderate
3,3,7,High,Medium,High,91,5.48,18,Female,High
2,3,4,High,High,High,81,7.1,25,Male,Moderate
9,3,8,Low,High,Low,59,5.57,18,Female,Moderate
8,3,6,High,Medium,Low,88,5.86,22,Female,Moderate
10,3,10,Low,Low,High,64,7.74,20,Male,High
7,7,4,High,Low,Medium,56,5.82,23,Female,Moderate
9,5,5,Medium,Medium,High,78,5.32,19,Male,Moderate
4,4,9,Low,High,High,96,6.59,19,Male,Moderate
4,3,7,Low,Medium,High,52,6.1,18,Male,Moderate
1,9,10,Medium,Low,High,68,7.58,23,Male,Moderate
8,5,9,Low,Low,Low,59,5.51,24,Female,Moderate
3,5,7,High,Medium,Medium,77,8.76,22,Female,Moderate
7,4,1,High,Medium,High,78,9.53,18,Female,Moderate
2,7,8,Low,Low,Medium,64,8.72,18,Male,Moderate
2,6,4,High,Medium,Medium,84,7.66,22,Female,Moderate
7,6,3,Low,Low,Medium,55,9.3,20,Female,Moderate
6,5,7,Medium,Medium,High,61,8.47,19,Female,Moderate
3,8,3,Low,Medium,Low,96,5.05,20,Female,Low
9,8,8,Medium,Medium,High,87,6.97,23,Male,Moderate
10,4,6,High,Low,Medium,62,9.25,24,Male,High
6,6,5,Medium,Medium,Medium,78,6.73,25,Female,Low
10,5,4,High,Low,Low,68,5.18,21,Male,High
10,7,8,Low,Low,High,52,8.73,21,Female,Moderate
6,6,8,High,Medium,Medium,57,9.01,21,Female,Moderate
1,5,1,Low,Medium,Low,57,5.8,22,Female,Low
4,5,9,Low,Low,Medium,69,7.69,18,Male,Moderate
10,3,5,Medium,Low,Low,96,5.96,24,Female,Moderate
6,7,4,Medium,High,Low,53,8.6,20,Male,Low
6,3,6,Medium,Low,High,100,6.36,25,Male,Moderate
5,4,6,Medium,High,Medium,70,6.58,19,Female,Low
1,3,2,High,High,High,52,9.22,21,Male,Moderate
8,9,8,High,High,Medium,94,7.38,20,Male,Moderate
5,3,7,High,Medium,High,57,8.35,21,Female,High
5,9,1,Low,Medium,Medium,72,7.01,24,Male,Low
7,6,5,High,Low,High,65,6.49,21,Male,High
4,8,6,High,High,Low,62,8.13,19,Female,Low
6,5,4,High,Medium,Medium,52,5.77,25,Female,Moderate
4,9,2,Medium,Medium,Medium,97,6.86,23,Male,Low
3,7,4,High,Medium,Low,58,6.05,23,Female,Low
7,3,1,Low,Medium,High,63,8.48,24,Female,Moderate
8,9,7,Medium,Medium,Medium,62,9.72,23,Male,Moderate
4,7,2,Low,High,Medium,56,9.98,22,Male,Low
2,8,2,High,High,High,64,7.25,18,Female,Moderate
10,8,9,Medium,High,Low,56,6.26,22,Male,Moderate
3,3,5,Low,High,High,87,7.21,20,Female,Low
1,4,2,High,Low,High,83,9.24,22,Female,Moderate
8,3,9,Low,High,High,90,6.03,20,Male,Moderate
3,6,9,Low,Medium,Medium,71,9.76,20,Male,Moderate
10,9,1,Low,High,Low,73,6.71,18,Female,Low
7,5,3,High,Low,Low,98,9.93,19,Female,Moderate
10,4,4,High,Medium,High,86,9.19,25,Female,High
5,3,7,Low,High,Medium,93,9.04,24,Female,Low
10,7,10,Medium,High,High,50,6.59,18,Male,Moderate
5,4,4,Medium,High,Medium,59,5.04,24,Female,Moderate
7,9,2,High,Medium,Medium,92,6.91,23,Male,Moderate
9,4,7,High,Medium,Medium,65,6.51,23,Male,High
5,9,6,High,Low,Medium,95,5.19,22,Female,Moderate
1,3,3,High,Medium,Low,57,7.53,20,Male,Moderate
10,9,6,High,Medium,Medium,98,7.02,21,Male,Moderate
10,4,6,Medium,High,Medium,74,8.17,21,Female,Moderate
1,7,5,High,Medium,High,99,8.11,24,Male,Moderate
2,8,4,Low,High,High,61,5.6,20,Male,Low
6,4,10,Low,High,Low,74,9.88,24,Female,Low
9,9,1,Medium,Medium,High,66,5.93,18,Female,Moderate
8,8,10,Low,Low,Medium,75,7.23,19,Female,Moderate
5,9,6,Medium,Low,High,95,7.44,25,Female,Moderate
1,7,2,Medium,Medium,Low,97,9.07,18,Female,Low
7,9,3,Low,Low,High,63,5.5,20,Female,Moderate
5,3,8,High,High,High,90,7.14,20,Female,Moderate
6,5,10,Low,High,Low,85,8.14,19,Male,Low
7,4,6,Low,Medium,Low,72,6.08,24,Male,Low
3,5,3,Medium,Low,Medium,92,8.14,22,Female,Moderate
10,9,7,Low,Low,High,55,9.62,22,Male,Moderate
3,7,4,Medium,High,Medium,96,9.99,19,Male,Low
5,4,9,High,Medium,High,54,5.16,22,Female,High
6,9,5,High,Low,High,92,6.18,21,Male,Moderate
9,8,3,High,Medium,Medium,74,6.55,22,Female,Moderate
5,6,2,Low,Low,High,67,7.0,22,Male,Moderate
1,9,2,Medium,High,High,62,6.21,22,Female,Low
4,5,3,High,High,High,92,6.02,21,Male,Moderate
5,4,2,Medium,Medium,Low,63,9.77,24,Male,Moderate
10,5,4,Medium,High,Medium,77,9.59,22,Male,Moderate
10,4,2,High,Low,Low,67,5.23,23,Female,High
5,9,10,High,High,Medium,77,6.69,21,Male,Moderate
7,3,9,Medium,Medium,Medium,100,7.03,19,Male,Moderate
4,8,2,High,Medium,High,76,6.2,18,Female,Moderate
1,9,9,Medium,Medium,Medium,81,8.14,19,Female,Moderate
5,5,6,Medium,Low,Low,96,8.2,18,Male,Low
7,6,1,High,Low,Low,58,9.25,25,Male,Moderate
10,6,4,Low,Low,Low,89,8.7,19,Male,Moderate
10,7,1,High,Low,Medium,81,7.71,23,Male,Moderate
6,4,6,Low,Low,Low,69,8.27,18,Female,Moderate
5,5,4,Medium,High,Medium,77,6.37,18,Male,Low
4,7,3,Medium,Low,Low,82,7.97,20,Male,Low
2,5,3,Low,Low,Low,53,7.45,18,Female,Low
4,4,9,Medium,High,Medium,95,5.67,18,Male,Moderate
10,9,6,Low,Low,Low,83,6.21,20,Male,Low
10,9,9,Low,Medium,High,97,6.46,22,Male,Moderate
3,6,5,Medium,Low,Medium,52,9.62,22,Female,Moderate
10,9,2,Low,Low,Medium,75,6.15,20,Female,Moderate
1,9,8,High,Medium,Medium,57,6.45,21,Male,Moderate
8,3,5,High,Medium,High,55,6.85,25,Male,High
5,6,2,Medium,Medium,Medium,65,8.32,18,Female,Moderate
4,7,4,Medium,Medium,Low,73,5.59,18,Male,Low
8,8,9,Low,Low,Low,97,9.77,20,Male,Moderate
7,3,4,Low,Medium,Low,88,9.33,20,Female,Low
2,7,4,Low,Medium,Medium,79,7.89,21,Female,Low
1,4,2,Low,High,Low,94,8.37,23,Female,Low
4,3,6,High,Medium,Medium,62,5.08,22,Male,Moderate
8,7,2,High,Medium,Low,54,6.69,19,Male,Moderate
2,4,7,Medium,High,High,74,8.98,23,Male,Moderate
3,6,3,Low,High,High,69,5.39,24,Male,Moderate
1,8,3,Low,Low,High,67,6.41,22,Female,Moderate
1,4,5,Medium,High,High,96,7.93,18,Male,Moderate
3,9,3,Low,Low,Medium,67,6.28,24,Male,Low
5,5,2,Low,High,Low,51,9.67,23,Female,Low
3,4,10,Low,High,High,59,5.66,20,Female,Moderate
1,4,9,Low,Low,Medium,94,8.99,21,Male,Moderate
1,8,2,Low,High,High,99,7.54,22,Female,Low
8,5,2,Medium,Low,High,96,8.75,21,Female,Moderate
10,9,8,Low,High,Medium,61,6.55,24,Male,Moderate
2,7,9,Medium,Medium,Medium,96,7.57,22,Male,Moderate
3,7,7,Low,High,Low,62,9.28,25,Male,Low
2,4,3,High,Low,Low,99,7.33,25,Male,Moderate
3,5,9,High,High,High,96,6.8,23,Female,Moderate
7,5,3,High,Low,High,60,7.68,18,Female,High
